Mnozstvi;Nazev;Cena
6;Ceramic Capacitor 120pF, 50V, C0G, 5% ;5
6;Ceramic Capacitor 330pF, 50V, C0G, 5% ;6
2;Ceramic Capacitor 1n0F, 16V, X7R, 10% ;7
1;Ceramic Capacitor 47nF, 16V, X7R, 10% ;8
6;Ceramic Capacitor 1.0uF, 10V, X7R, 10% ;9
33;Ceramic Capacitor 4.7uF, 6.3V, X5R, 20%  ;4
11;Tantalum Cap., 22uF/10V, 20% ;20
7;Ceramic Capacitor 100pF, 50V, C0G, 5%;12
22;Ceramic Capacitor 1.0uF,10V, X5R, 10%;13
4;Ceramic Capacitor 33pF, 50V, C0G, 5%;14
4;Ceramic Capacitor 470pF, 50V, C0G, 5%;15
2;Ceramic Capacitor 470nF, 10V, X7R, 10% ;16
1;Tantalum Low ESR capacitors 100uF/16V;17
1;Ceramic Capacitor 15nF, 16V, X7R, 10% ;18
6;Ceramic Capacitor 100nF, 50V, Z5U ,20%;19
6;Ceramic Capacitor 10uF, 25V, X7R, 20% ;20
3;Ceramic Capacitor 3.3uF, 50V, X7R, 20% ;21
2;Ceramic Capacitor 4n7F, 16V, X7R, 10% ;22
4;Metallized Polypropylene (PP) Capacitors in PCM 5 mm;48
320;Ceramic Capacitor 100nF, 16V, X7R, 10% ;30
80;10nF / 16V X7R;12
6;10pF / 50V C0G/NP0;13,5
5;22pF / 50V C0G/NP0;21,2
1;Tantalum Cap., 10uF/10V, 20% ;32
1;Tantalum Cap., 2.2uF/10V,10%, Case A;22
8;Ceramic Cap., 10uF, 6.3V, X5R, 10%;18
12;Ceramic Cap., 22uF, 6.3V, X5R, 10%;14,6
1;Ceramic Cap., 2.2uF, 6.3V, X5R, 20%;21,4
1;Tantalum Cap., 33uF/25V, 90mOhm ESR, 10%;9
1;Dual Schottky Diode;100
